track_name,main_artist,collaborator,popularity
Die With A Smile,Lady Gaga,A Smile,100
luther (with sza),Kendrick Lamar,sza,87
Timeless (with Playboi Carti),The Weeknd,Playboi Carti,92
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,"JENNIE, Lily Rose Depp",90
tv off (feat. lefty gunplay),Kendrick Lamar,lefty gunplay,91
Like Him (feat. Lola Young),"Tyler, The Creator",Lola Young,90
Sang Rahiyo (feat. Ujjwal Kashyap),Jasleen Royal,Ujjwal Kashyap,75
"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Mohammad Faiz,"Mrs. Mahi""",69
Heeriye (feat. Arijit Singh),Jasleen Royal,Arijit Singh,76
"Only Right (feat. YG, Joe Moses & TeeCee4800)",Ty Dolla $ign,"YG, Joe Moses & TeeCee4800",0
That Go! (feat. T-Shyne),Young Stoner Life,T-Shyne,72
Those Kinda Nights (feat. Ed Sheeran),Eminem,Ed Sheeran,58
"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",A$AP Rocky,"Moby, T.I. & Kid Cudi",58
Climax (feat. 6lack),Young Thug,6lack,54
HOT UPTOWN (feat. Drake),Camila Cabello,Drake,54
Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,Buzzcocks,Someone You Shouldn't've?,59
Fire & Desire,Drake,Desire,68
Bennie And The Jets - Remastered 2014,Elton John,The Jets - Remastered 2014,72
Body And Soul,Amy Winehouse,Soul,0
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,Sia,80
"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii",XXXTENTACION,"Rio Santana, Judah, Andrez Babii",62
Aye (feat. Travis Scott),Lil Uzi Vert,Travis Scott,63
See You Again (feat. Charlie Puth),Wiz Khalifa,Charlie Puth,79
Reverse (Ft. G-Eazy),VIC MENSA,G-Eazy,43
Best Friend (with Fall Out Boy),Juice WRLD,Fall Out Boy,54
I LUV IT (feat. Playboi Carti),Camila Cabello,Playboi Carti,66
TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,Tory Lanez,Lil Wayne,51
I Love It (feat. Charli XCX),Icona Pop,Charli XCX,70
Arctic Tundra (feat. Juice WRLD),Nicki Minaj,Juice WRLD,61
Dasani (feat. DC The Don & Sebii),Quadeca,DC The Don & Sebii,22
It's Not Living (If It's Not With You),The 1975,You,69
Never Let Us Fade ft. Cam,070 Shake,Cam,42
Song to the Siren ft. Courtney Love,070 Shake,Courtney Love,44
Into Your Garden ft. JT,070 Shake,JT,49
I ONLY WANT TO BE WITH YOU,Tommy february6,YOU,52
In The Night (feat. Jorja Smith & Amaarae),Childish Gambino,Jorja Smith & Amaarae,58
360 featuring robyn & yung lean,Charli xcx,yung lean,54
São Paulo (feat. Anitta),The Weeknd,Anitta,84
Proper Patola (feat. Badshah),Diljit Dosanjh,Badshah,41
Man Down (feat. AlunaGeorge),Shakka,AlunaGeorge,53
Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator",ScHoolboy Q & Santigold,80
Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),"Tyler, The Creator",Daniel Caesar & LaToiya Williams,76
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator","GloRilla, Sexyy Red & Lil Wayne",89
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",Teezo Touchdown,82
Lightyears (with Young Thug),Juice WRLD,Young Thug,53
Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,Diamonds - Remastered 2009,62
Trillions (feat. Brent Faiyaz),Alicia Keys,Brent Faiyaz,60
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,"Justin Bieber, Chance the Rapper & Quavo",56
Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,DaBaby,68
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,A Boogie Wit da Hoodie,69
Sunshine (feat. Fousheé),Steve Lacy,Fousheé,55
Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,Drake,54
Not You Too (feat. Chris Brown),Drake,Chris Brown,75
Ever Fallen in Love (With Someone You Shouldn't've),Tashaki Miyaki,Someone You Shouldn't've,17
Never Change (feat. Future),Trippie Redd,Future,0
Spaceships (feat. Young Thug),Trippie Redd,Young Thug,0
Wake Up! (feat. Juice WRLD),Ski Mask The Slump God,Juice WRLD,43
Roses (with Juice WRLD feat. Brendon Urie),benny blanco,Brendon Urie,63
Real Shit (with benny blanco),Juice WRLD,benny blanco,57
Summer Drop (feat. Anderson .Paak),Cordae,Anderson .Paak,53
First Off (feat. Travis Scott),Future,Travis Scott,57
Buffalo Freestyle (feat. Drake),Benny The Butcher,Drake,3
Lemon Pepper Freestyle (feat. Rick Ross),Drake,Rick Ross,62
Diamonds Dancing (feat. Travis Scott),Young Stoner Life,Travis Scott,38
Bad Bad Bad (feat. Lil Baby),Young Thug,Lil Baby,64
TKN (feat. Travis Scott),ROSALÍA,Travis Scott,66
Housekeeping Knows (feat. Latto),Drake,Latto,22
It's Up (feat. Young Thug & 21 Savage),Drake,Young Thug & 21 Savage,39
One Wish (feat. Childish Gambino),Ravyn Lenae,Childish Gambino,54
Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,Future & Rae Sremmurd,55
ICE AGE (FEAT. TRAVIS SCOTT),Don Toliver,TRAVIS SCOTT,64
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),Don Toliver,CHARLIE WILSON & CASH COBAIN,65
The Thrill Is Gone / Django (with Miley Cyrus),Jeff Goldblum & The Mildred Snitzer Orchestra,Miley Cyrus,31
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",Metro Boomin,BEAM & Toian,38
U Are My High (with Future),DJ Snake,Future,71
Time (feat. Ariana Grande),Childish Gambino,Ariana Grande,44
Obsessed With You,Central Cee,You,60
All Eyez On Me (ft. Big Syke),2Pac,Big Syke,76
Let The Light In (feat. Father John Misty),Lana Del Rey,Father John Misty,77
The Trouble With Me Is You,Red McKenzie,Me Is You,17
Rolled Up feat. Mac DeMarco,Benny Sings,Mac DeMarco,31
Arya (with Nigo),A$AP Rocky,Nigo,50
WIN OR LOSE (feat. Chip Tha Ripper),Kid Cudi,Chip Tha Ripper,40
DIAMONDS LIGHTS FAST CARS (feat. Wiz Khalifa),Kid Cudi,Wiz Khalifa,38
Invincible (feat. Daniel Caesar),Omar Apollo,Daniel Caesar,64
I'M ON ONE (feat. Drake),Future,Drake,53
Money (feat. Juice WRLD & Nicki Minaj),Young Thug,Juice WRLD & Nicki Minaj,51
Metro Spider (with Young Thug),Metro Boomin,Young Thug,64
Bus Stop (feat. Brent Faiyaz),Don Toliver,Brent Faiyaz,50
Double R (feat. Lil Durk),Ty Dolla $ign,Lil Durk,33
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,The Notorious B.I.G.,Puff Daddy & Mase,70
The World Is Filled... (feat. Too Short & Puff Daddy) - 2014 Remaster,The Notorious B.I.G.,Too Short & Puff Daddy,40
act ii: date @ 8 (feat. Drake) - remix,4batz,Drake,71
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,"Justin Bieber, Quavo, Chance the Rapper & Lil Wayne",69
Never Lose Me (feat. Lil Yachty),Flo Milli,Lil Yachty,62
Say Nada (feat. JME) - Remix,Shakka,JME,39
All The Stars (with SZA),Kendrick Lamar,SZA,86
lost souls (with Brent Faiyaz),Baby Keem,Brent Faiyaz,65
